{0: 5362010933654L, 1: 5102930484783L, 2: 163365244194L, 3: 289228132094L}
{0: 24489511127633L, 1: 24094325825028L, 2: 583092280007L, 3: 563507694814L}
{0: 54303810351568L, 1: 51423755566606L, 2: 2171833754623L, 3: 2471096635620L}
{0: 87025289398241L, 1: 83066177956553L, 2: 3504767559496L, 3: 3477129649904L}
{0: 129478157283759L, 1: 122706262352489L, 2: 5917140224779L, 3: 5548142271185L}
{0: 196943927665992L, 1: 186311344127488L, 2: 8844143985998L, 3: 8028092158324L}
{0: 271717253899277L, 1: 253900957116006L, 2: 12828839253589L, 3: 13337011767487L}
{0: 324961990284675L, 1: 305144499796607L, 2: 15139883141644L, 3: 16147957324981L}
{0: 410815770678129L, 1: 388714640007202L, 2: 17710132947887L, 3: 18655353848480L}
{0: 474070425854763L, 1: 446929777251188L, 2: 22460406625217L, 3: 22501244605953L}
{0: 560027384467378L, 1: 526281761999339L, 2: 26986487625098L, 3: 29176821775351L}
{0: 714285458530117L, 1: 654533371143775L, 2: 51709316331236L, 3: 34598256494485L}
{0: 901949611328303L, 1: 759233543964051L, 2: 86907047469605L, 3: 86709714876305L}
{0: 1075675537525939L, 1: 931395039641062L, 2: 90510193767429L, 3: 90384836932612L}
{0: 1172338726055256L, 1: 1016423833632775L, 2: 100978911549877L, 3: 97855040111951L}
{0: 1380368767338788L, 1: 1219608219420263L, 2: 104152119498204L, 3: 104798709158136L}
{0: 1491939392628082L, 1: 1330581006485108L, 2: 107868511350570L, 3: 109331169608762L}
{0: 1674606066087372L, 1: 1495027061042676L, 2: 120678729245460L, 3: 121292894830141L}
{0: 1879637828436821L, 1: 1694304071363149L, 2: 127892757620476L, 3: 128265833109193L}
{0: 2380364773970550L, 1: 1995970881212225L, 2: 225643622647148L, 3: 230827868465983L}
{0: 2895216848406741L, 1: 2322080367616062L, 2: 319699523680215L, 3: 328611404330487L}
{0: 3392751843205167L, 1: 2603073468429735L, 2: 418015410730271L, 3: 450937977290208L}
{0: 3901852856337669L, 1: 2927969065265991L, 2: 510531119060331L, 3: 545862368540944L}
{0: 4462238485633902L, 1: 3268980853348615L, 2: 621765867421913L, 3: 658132195095389L}
{0: 5048982705957056L, 1: 3585113210916705L, 2: 759197025837781L, 3: 792291372704214L}
{0: 5712688988622422L, 1: 4004168996508849L, 2: 882114695239056L, 3: 917189005157521L}
{0: 6678658199800528L, 1: 4643482306802739L, 2: 1063825299031282L, 3: 1069458331739431L}
{0: 7557502068494629L, 1: 5253906248315672L, 2: 1208530298411593L, 3: 1220196673778094L}
{0: 8307187646769975L, 1: 5711586974246421L, 2: 1357053558233111L, 3: 1364824285801985L}
{0: 9005544513419315L, 1: 6162873312372891L, 2: 1481837433252155L, 3: 1492568188658318L}
{0: 9733500994994328L, 1: 6651881030749185L, 2: 1602990151896851L, 3: 1617243950196576L}
{0: 10441846631008278L, 1: 7122416513873076L, 2: 1727318198431908L, 3: 1738127179270810L}
{0: 10712849081772619L, 1: 7282340695282552L, 2: 1793194878458909L, 3: 1798678533685168L}
{0: 10976641297269281L, 1: 7405936519630093L, 2: 1874527281701561L, 3: 1872710384065624L}
{0: 11801791910320052L, 1: 7891040649759595L, 2: 2047049465974436L, 3: 2045231393217317L}
{0: 12676981916905146L, 1: 8467562579259022L, 2: 2193377691096011L, 3: 2203059557589638L}
{0: 13558930114544780L, 1: 9049216371217702L, 2: 2350910983650273L, 3: 2350562341657928L}
{0: 14598226506486195L, 1: 9627591350385331L, 2: 2637102118410951L, 3: 2528096993902953L}
{0: 15778863249791949L, 1: 10277851187331211L, 2: 2869838234153102L, 3: 2829215087707130L}
{0: 16705644278447766L, 1: 10894378061400705L, 2: 3029951304350560L, 3: 2987642397995827L}
{0: 17757853243385540L, 1: 11500795094708824L, 2: 3265073106498470L, 3: 3200541133032395L}
{0: 18643033741987400L, 1: 11986096588236831L, 2: 3471486183967599L, 3: 3400475846972090L}
{0: 19650984057520644L, 1: 12613816710784622L, 2: 3657917109064842L, 3: 3599377476988987L}
{0: 20653976747628222L, 1: 13225891106365144L, 2: 3862432574106611L, 3: 3793379920211878L}
{0: 21664099314603302L, 1: 13787016266021290L, 2: 4071186248064038L, 3: 4039210947680900L}
{0: 22827486741086600L, 1: 14468198663919978L, 2: 4312318795478947L, 3: 4283702681742383L}
{0: 24132826070553958L, 1: 15362044605200913L, 2: 4445132561658579L, 3: 4571924987559998L}
{0: 26235254012207457L, 1: 17312035430521114L, 2: 4447034423463907L, 3: 4731239036280412L}
{0: 28724192396718710L, 1: 19801241326955516L, 2: 4453549141182277L, 3: 4733904468123426L}
{0: 32380262585640585L, 1: 23460035497466339L, 2: 4455281103672982L, 3: 4735889540051473L, 32767: 245935977658L}
{0: 34984303057748938L, 1: 26066091270745613L, 2: 4458061877318087L, 3: 4737658399467719L, 32767: 245935977658L}
{0: 37713808402005499L, 1: 28796627376442357L, 2: 4460898647436775L, 3: 4739974835410537L, 32767: 245935977658L}
{0: 40356128194056260L, 1: 31440520255080450L, 2: 4462737810014740L, 3: 4741811681513404L, 32767: 245935977658L}
{0: 43120365721027031L, 1: 34205293347566267L, 2: 4465409188459258L, 3: 4744481933479398L, 32767: 245935977658L}
{0: 45938186533331377L, 1: 37025292860904873L, 2: 4467588934704337L, 3: 4746663812691920L, 32767: 245935977658L}
{0: 48884703120213177L, 1: 39973750392645994L, 2: 4470089125847233L, 3: 4748327052148147L, 32767: 245935977658L}
{0: 51817728393447865L, 1: 42909315337691044L, 2: 4472628355751579L, 3: 4751431829871673L, 32767: 245935977658L}
{0: 55590650570486259L, 1: 46683102094684006L, 2: 4475507138419253L, 3: 4754026560530856L, 32767: 245935977658L}
{0: 58634776573128116L, 1: 49729272091329511L, 2: 4479316251521543L, 3: 4756075505817230L, 32767: 245935977658L}
{0: 61750797890444624L, 1: 52847373049262348L, 2: 4481698112365369L, 3: 4758454183904187L, 32767: 245935977658L}
{0: 64865928148705125L, 1: 55963409334672321L, 2: 4484423242604202L, 3: 4760571031031449L, 32767: 245935977658L}
{0: 68125160086670956L, 1: 59225097709377337L, 2: 4486575044399863L, 3: 4763028109036115L, 32767: 245935977658L}
{0: 71369490788530232L, 1: 62471307142953168L, 2: 4490010318393105L, 3: 4766153291962182L, 32767: 245935977658L}
{0: 74669264763778146L, 1: 65773625486535382L, 2: 4492552178854814L, 3: 4768056531257564L, 32767: 245935977658L}
{0: 78582611714194129L, 1: 69689879970036584L, 2: 4495452348274824L, 3: 4770956815750281L, 32767: 569805304228L}
{0: 81931122863851405L, 1: 73042653598942661L, 2: 4498723698543492L, 3: 4773908399569275L, 32767: 569805304228L}
{0: 85378666692049193L, 1: 76493853108988383L, 2: 4502053251470767L, 3: 4776235265846944L, 32767: 569805304228L}
{0: 88869256971910245L, 1: 79977350872334911L, 2: 4521979043186774L, 3: 4778933943725733L, 32767: 569805304228L}
{0: 92483063385389536L, 1: 83594582687220363L, 2: 4524378204044770L, 3: 4781330789448567L, 32767: 569805304228L}
{0: 96095891321508742L, 1: 87210886131427145L, 2: 4527849872006638L, 3: 4784107867205563L, 32767: 569805304228L}
{0: 99790880560799770L, 1: 90910455194405567L, 2: 4530669616552233L, 3: 4786929753613918L, 32767: 569805304228L}
{0: 103506418239887453L, 1: 94630641354232620L, 2: 4533531475948622L, 3: 4789072992710968L, 32767: 569805304228L}
{0: 108303857987447341L, 1: 99432433598862476L, 2: 4536070476458334L, 3: 4792333290253389L, 32767: 569805304228L}
{0: 111866164466337351L, 1: 102998042780320529L, 2: 4538642436884415L, 3: 4795278367956341L, 32767: 569805304228L}
{0: 115684450904871481L, 1: 106821180278951521L, 2: 4542367991287176L, 3: 4797887312682302L, 32767: 569805304228L}
{0: 119549528381057638L, 1: 110691545065101200L, 2: 4545389850296611L, 3: 4800905990335015L, 32767: 569805304228L}
{0: 123429551969989521L, 1: 114576920955781442L, 2: 4548452272422142L, 3: 4804348105025234L, 32767: 569805304228L}
{0: 127417780529499415L, 1: 118570957779853813L, 2: 4551164072511787L, 3: 4807445182635238L, 32767: 569805304228L}
{0: 131438418937975238L, 1: 122595916158531513L, 2: 4554303849089095L, 3: 4810587060272458L, 32767: 569805304228L}
{0: 135626488979423152L, 1: 126788361486984327L, 2: 4557485715763058L, 3: 4812970299260336L, 32767: 569805304228L}
{0: 141171007534716709L, 1: 132338915241234321L, 2: 4560304715640456L, 3: 4816590609897217L, 32767: 3392913304634L}
{0: 145426859621741589L, 1: 136600476178083771L, 2: 4563563995193110L, 3: 4820262882272630L, 32767: 3392913304634L}
{0: 149697436482528478L, 1: 140876003232208108L, 2: 4566863578449045L, 3: 4822737321265428L, 32767: 3392913304634L}
{0: 153836533796911281L, 1: 145021362443561316L, 2: 4570205444782750L, 3: 4826076040431662L, 32767: 3392913304634L}
{0: 158238375490151900L, 1: 149428274204206825L, 2: 4573587085882626L, 3: 4829032885879390L, 32767: 3392913304634L}
{0: 162709153482606485L, 1: 153905893633368857L, 2: 4576578885418642L, 3: 4832878528125712L, 32767: 3392913304634L}
{0: 167218054766523823L, 1: 158422155093354868L, 2: 4581339747984973L, 3: 4836340447230318L, 32767: 3392913304634L}
