{0: 4354, 1: 4394, 2: 394, 3: 368}
{0: 7459, 1: 9522, 2: 466, 3: 427}
{0: 10638, 1: 13941, 2: 623, 3: 610}
{0: 12872, 1: 17494, 2: 735, 3: 702}
{0: 15078, 1: 20881, 2: 864, 3: 818}
{0: 18012, 1: 25480, 2: 995, 3: 931}
{0: 20809, 1: 29601, 2: 1171, 3: 1110}
{0: 22563, 1: 32357, 2: 1250, 3: 1197}
{0: 24970, 1: 36222, 2: 1322, 3: 1269}
{0: 26535, 1: 38650, 2: 1434, 3: 1401}
{0: 28548, 1: 41691, 2: 1549, 3: 1554}
{0: 31696, 1: 46116, 2: 2333, 3: 1673}
{0: 35212, 1: 49478, 2: 3460, 3: 3338}
{0: 38330, 1: 54576, 2: 3532, 3: 3451}
{0: 42884, 1: 56897, 2: 4489, 3: 3672}
{0: 47382, 1: 62134, 2: 4540, 3: 3900}
{0: 49029, 1: 64803, 2: 4602, 3: 3973}
{0: 52320, 1: 68533, 2: 5081, 3: 4234}
{0: 54997, 1: 72803, 2: 5188, 3: 4353}
{0: 60749, 1: 78332, 2: 6265, 3: 5533}
{0: 66571, 1: 84008, 2: 7251, 3: 6575}
{0: 72047, 1: 88630, 2: 8215, 3: 7988}
{0: 77097, 1: 93742, 2: 9092, 3: 8859}
{0: 82348, 1: 98913, 2: 10056, 3: 9838}
{0: 87604, 1: 103424, 2: 11179, 3: 10950}
{0: 93355, 1: 109246, 2: 12147, 3: 11934}
{0: 101928, 1: 118198, 2: 14221, 3: 13685}
{0: 109289, 1: 126377, 2: 15509, 3: 15744}
{0: 115198, 1: 132025, 2: 16606, 3: 16795}
{0: 120473, 1: 137463, 2: 17464, 3: 17688}
{0: 125855, 1: 143194, 2: 18276, 3: 18528}
{0: 131222, 1: 148659, 2: 19089, 3: 19332}
{0: 133093, 1: 150363, 2: 19535, 3: 19739}
{0: 134783, 1: 151604, 2: 20051, 3: 20211}
{0: 140051, 1: 156513, 2: 21065, 3: 21228}
{0: 145548, 1: 162309, 2: 21897, 3: 22126}
{0: 150953, 1: 168069, 2: 22774, 3: 22951}
