{0: 6961, 1: 7163, 5: 1031, 6: 2058}
{0: 11918, 1: 15674, 5: 1244, 6: 3715}
{0: 18818, 1: 21681, 5: 2174, 6: 5468}
{0: 25768, 1: 27201, 5: 4508, 6: 5674}
{0: 33315, 1: 32279, 5: 6283, 6: 6855}
{0: 40751, 1: 38200, 5: 6749, 6: 8361}
{0: 48849, 1: 44180, 5: 7424, 6: 9211}
{0: 55528, 1: 51023, 5: 8041, 6: 10593}
{0: 63321, 1: 57020, 5: 8573, 6: 11494}
{0: 69394, 1: 64435, 5: 9304, 6: 12047}
{0: 76455, 1: 77658, 5: 10560, 6: 17980}
{0: 83529, 1: 84178, 5: 11352, 6: 18970}
{0: 89588, 1: 91135, 5: 12460, 6: 19666}
{0: 96515, 1: 97089, 5: 13730, 6: 20787}
{0: 102976, 1: 104124, 5: 14765, 6: 21088}
{0: 108436, 1: 109436, 5: 15013, 6: 23794}
{0: 114349, 1: 117045, 5: 15817, 6: 24631}
{0: 120846, 1: 124442, 5: 17341, 6: 25042}
{0: 127665, 1: 130910, 5: 18490, 6: 26696}
{0: 137932, 1: 135079, 5: 19212, 6: 27081}
{0: 148556, 1: 144497, 5: 26823, 6: 29521}
{0: 158645, 1: 150453, 5: 27622, 6: 29948}
{0: 171076, 1: 152452, 5: 28247, 6: 30681}
{0: 182230, 1: 154736, 5: 28893, 6: 30967}
{0: 193407, 1: 157777, 5: 29738, 6: 31560}
{0: 203115, 1: 161337, 5: 30309, 6: 32370}
{0: 215070, 1: 165845, 5: 34954, 6: 35390}
{0: 225255, 1: 169294, 5: 35540, 6: 35983}
{0: 235822, 1: 172391, 5: 36085, 6: 36617}
{0: 245388, 1: 186454, 5: 38306, 6: 37095}
{0: 255763, 1: 189047, 5: 39298, 6: 42285}
{0: 267123, 1: 191999, 5: 39979, 6: 43628}
{0: 279663, 1: 194053, 5: 40519, 6: 44017}
{0: 292732, 1: 195888, 5: 41391, 6: 44650}
{0: 303922, 1: 198607, 5: 42087, 6: 45151}
{0: 314972, 1: 200460, 5: 42956, 6: 45618}
{0: 327216, 1: 201891, 5: 43483, 6: 45983}
{0: 339066, 1: 204106, 5: 44256, 6: 46278}
{0: 350915, 1: 206065, 5: 44806, 6: 46450}
{0: 362648, 1: 216759, 5: 45939, 6: 46947}
{0: 374148, 1: 219084, 5: 46545, 6: 47598}
{0: 385083, 1: 221321, 5: 47933, 6: 48264}
{0: 395910, 1: 225547, 5: 48555, 6: 49325}
{0: 407789, 1: 228493, 5: 49347, 6: 49704}
{0: 418139, 1: 234869, 5: 49900, 6: 50024}
{0: 432014, 1: 239624, 5: 51243, 6: 51128}
{0: 447074, 1: 243181, 5: 51258, 6: 51338}
{0: 462234, 1: 246970, 5: 51265, 6: 51347, 32767: 163}
{0: 477490, 1: 250801, 5: 51274, 6: 51421, 32767: 197}
{0: 492694, 1: 254195, 5: 51283, 6: 51497, 32767: 197}
{0: 507015, 1: 273275, 5: 51357, 6: 52941, 32767: 197}
{0: 521856, 1: 276432, 5: 51431, 6: 53011, 32767: 197}
{0: 536538, 1: 279572, 5: 51436, 6: 53021, 32767: 197}
{0: 551568, 1: 282760, 5: 51450, 6: 53025, 32767: 197}
{0: 566855, 1: 285564, 5: 51462, 6: 53130, 32767: 197}
{0: 581377, 1: 288520, 5: 51467, 6: 53199, 32767: 197}
{0: 595903, 1: 291137, 5: 51596, 6: 53203, 32767: 197}
{0: 610534, 1: 293529, 5: 51671, 6: 53303, 32767: 197}
{0: 624811, 1: 295666, 5: 51777, 6: 53437, 32767: 197}
{0: 639513, 1: 298144, 5: 51854, 6: 53443, 32767: 197}
{0: 653918, 1: 316788, 5: 51869, 6: 53455, 32767: 197}
{0: 669346, 1: 320467, 5: 51878, 6: 53460, 32767: 197}
{0: 684928, 1: 324497, 5: 51893, 6: 53527, 32767: 288}
{0: 699585, 1: 326574, 5: 51899, 6: 53538, 32767: 288}
{0: 714533, 1: 329057, 5: 52039, 6: 53547, 32767: 288}
{0: 729697, 1: 331693, 5: 52045, 6: 53618, 32767: 288}
{0: 744545, 1: 334164, 5: 52184, 6: 53633, 32767: 288}
{0: 759468, 1: 336785, 5: 52192, 6: 53709, 32767: 288}
{0: 774377, 1: 339032, 5: 52210, 6: 53747, 32767: 288}
{0: 790552, 1: 341846, 5: 52218, 6: 53757, 32767: 288}
{0: 804898, 1: 364801, 5: 52237, 6: 53767, 32767: 288}
{0: 819539, 1: 367118, 5: 52244, 6: 53831, 32767: 288}
{0: 834465, 1: 369508, 5: 52318, 6: 53845, 32767: 288}
{0: 849397, 1: 371918, 5: 52460, 6: 53852, 32767: 288}
{0: 864275, 1: 374376, 5: 52527, 6: 53918, 32767: 288}
{0: 879122, 1: 377368, 5: 52608, 6: 53928, 32767: 288}
{0: 894032, 1: 380139, 5: 52722, 6: 54045, 32767: 288}
{0: 909115, 1: 382827, 5: 52732, 6: 54181, 32767: 355}
{0: 924011, 1: 385300, 5: 52802, 6: 54255, 32767: 355}
{0: 938682, 1: 404037, 5: 52868, 6: 54263, 32767: 355}
{0: 953548, 1: 406562, 5: 52888, 6: 54333, 32767: 355}
{0: 968883, 1: 409381, 5: 52964, 6: 54409, 32767: 355}
{0: 983979, 1: 411900, 5: 52981, 6: 54473, 32767: 355}
{0: 998945, 1: 414316, 5: 53052, 6: 54491, 32767: 355}
{0: 1014505, 1: 417007, 5: 53063, 6: 54562, 32767: 560}
{0: 1029933, 1: 419716, 5: 53073, 6: 54634, 32767: 560}
{0: 1044675, 1: 421994, 5: 53163, 6: 54642, 32767: 560}
{0: 1059308, 1: 424236, 5: 53174, 6: 54647, 32767: 560}
{0: 1073783, 1: 426209, 5: 53243, 6: 54671, 32767: 560}
{0: 1088689, 1: 445250, 5: 53340, 6: 54683, 32767: 560}
{0: 1103842, 1: 447862, 5: 53413, 6: 54750, 32767: 560}
{0: 1118693, 1: 450851, 5: 53489, 6: 54825, 32767: 560}
{0: 1133489, 1: 453086, 5: 53504, 6: 54893, 32767: 560}
{0: 1148662, 1: 455548, 5: 53577, 6: 54904, 32767: 560}
{0: 1163228, 1: 458245, 5: 53583, 6: 55099, 32767: 560}
{0: 1177279, 1: 461962, 5: 53782, 6: 55101, 32767: 1309}
{0: 1187341, 1: 461984, 5: 53798, 6: 55119, 32767: 4503}
{0: 1197426, 1: 462007, 5: 53814, 6: 55145, 32767: 7696}
{0: 1207540, 1: 462029, 5: 53828, 6: 55161, 32767: 10878}
{0: 1217370, 1: 462054, 5: 53853, 6: 55182, 32767: 28634}
