{0: 1972501223438L, 1: 1852031149873L, 5: 150768217499L, 6: 152660180585L}
{0: 7159971184737L, 1: 7044306230692L, 5: 428920346199L, 6: 448635358373L}
{0: 17556016549572L, 1: 17131232153281L, 5: 1028811702206L, 6: 995815955243L}
{0: 27255341800711L, 1: 26579589224644L, 5: 1815532292686L, 6: 1834725016909L}
{0: 44863767592448L, 1: 43907403208940L, 5: 2665047901369L, 6: 2730544736692L}
{0: 64644693636010L, 1: 63025790664361L, 5: 4042453286261L, 6: 4084158323590L}
{0: 90620284260612L, 1: 88144781567108L, 5: 5541494944412L, 6: 5549818838104L}
{0: 119057483245713L, 1: 116695051743796L, 5: 6927663713041L, 6: 6934415808727L}
{0: 149543835671811L, 1: 146742386251732L, 5: 8673284405439L, 6: 8769444861185L}
{0: 174403967257713L, 1: 171599597807785L, 5: 10712700269941L, 6: 10764788436149L}
{0: 209606041101197L, 1: 206753318319044L, 5: 12702670272310L, 6: 12708773334754L}
{0: 254507842627138L, 1: 250856718833201L, 5: 14776835996817L, 6: 15014800996557L}
{0: 292196933075918L, 1: 288364201665871L, 5: 17401033512193L, 6: 17390978862752L}
{0: 343173602751145L, 1: 339744428994144L, 5: 20036045268668L, 6: 19890604540873L}
{0: 383462210774293L, 1: 380185164167164L, 5: 23076845649137L, 6: 22637745605882L}
{0: 391767396642940L, 1: 388417942332226L, 5: 27029603110878L, 6: 26671389452556L}
{0: 445639084374436L, 1: 442455892187667L, 5: 30405317707865L, 6: 29801104429817L}
{0: 506724523190879L, 1: 503633140600326L, 5: 33726608908855L, 6: 33212764745948L}
{0: 581894381695380L, 1: 577775777060404L, 5: 37712446887815L, 6: 37109432694190L}
{0: 639466700774605L, 1: 633192412325370L, 5: 41610568814479L, 6: 41105808002139L}
{0: 749958271934659L, 1: 713934129579963L, 5: 59462988274701L, 6: 58953514502736L}
{0: 821212386858061L, 1: 775157657076201L, 5: 68946722043585L, 6: 67774158342140L}
{0: 943415059145857L, 1: 868108983365505L, 5: 86330411138819L, 6: 85040094477473L}
{0: 1011145758612499L, 1: 933378801567886L, 5: 91032096566816L, 6: 89737539396484L}
{0: 1145179570846509L, 1: 1038194418463075L, 5: 108517552171994L, 6: 107095244826105L}
{0: 1230465287899389L, 1: 1120423950981743L, 5: 113617005395438L, 6: 112321775306889L}
{0: 1481755518834279L, 1: 1290636503920507L, 5: 170599823612635L, 6: 153827650945979L}
{0: 1584140177473544L, 1: 1389591817567538L, 5: 176375600669427L, 6: 159465862460143L}
{0: 1702600435011725L, 1: 1497781511733042L, 5: 186071913816518L, 6: 168590844380596L}
{0: 1815302496381941L, 1: 1598226327912077L, 5: 196109376314773L, 6: 178922568929802L}
{0: 1917556529566239L, 1: 1694086209172330L, 5: 203885093140442L, 6: 186544523876918L}
