{0: 1972501223438L, 1: 1852031149873L, 5: 150768217499L, 6: 152660180585L}
{0: 7159971184737L, 1: 7044306230692L, 5: 428920346199L, 6: 448635358373L}
{0: 17556016549572L, 1: 17131232153281L, 5: 1028811702206L, 6: 995815955243L}
{0: 27255341800711L, 1: 26579589224644L, 5: 1815532292686L, 6: 1834725016909L}
{0: 44863767592448L, 1: 43907403208940L, 5: 2665047901369L, 6: 2730544736692L}
{0: 64644693636010L, 1: 63025790664361L, 5: 4042453286261L, 6: 4084158323590L}
{0: 90620284260612L, 1: 88144781567108L, 5: 5541494944412L, 6: 5549818838104L}
{0: 119057483245713L, 1: 116695051743796L, 5: 6927663713041L, 6: 6934415808727L}
{0: 149543835671811L, 1: 146742386251732L, 5: 8673284405439L, 6: 8769444861185L}
{0: 174403967257713L, 1: 171599597807785L, 5: 10712700269941L, 6: 10764788436149L}
{0: 209606041101197L, 1: 206753318319044L, 5: 12702670272310L, 6: 12708773334754L}
{0: 254507842627138L, 1: 250856718833201L, 5: 14776835996817L, 6: 15014800996557L}
{0: 292196933075918L, 1: 288364201665871L, 5: 17401033512193L, 6: 17390978862752L}
{0: 343173602751145L, 1: 339744428994144L, 5: 20036045268668L, 6: 19890604540873L}
{0: 383462210774293L, 1: 380185164167164L, 5: 23076845649137L, 6: 22637745605882L}
{0: 391767396642940L, 1: 388417942332226L, 5: 27029603110878L, 6: 26671389452556L}
{0: 445639084374436L, 1: 442455892187667L, 5: 30405317707865L, 6: 29801104429817L}
{0: 506724523190879L, 1: 503633140600326L, 5: 33726608908855L, 6: 33212764745948L}
{0: 581894381695380L, 1: 577775777060404L, 5: 37712446887815L, 6: 37109432694190L}
{0: 639466700774605L, 1: 633192412325370L, 5: 41610568814479L, 6: 41105808002139L}
{0: 749958271934659L, 1: 713934129579963L, 5: 59462988274701L, 6: 58953514502736L}
{0: 821212386858061L, 1: 775157657076201L, 5: 68946722043585L, 6: 67774158342140L}
{0: 943415059145857L, 1: 868108983365505L, 5: 86330411138819L, 6: 85040094477473L}
{0: 1011145758612499L, 1: 933378801567886L, 5: 91032096566816L, 6: 89737539396484L}
{0: 1145179570846509L, 1: 1038194418463075L, 5: 108517552171994L, 6: 107095244826105L}
{0: 1230465287899389L, 1: 1120423950981743L, 5: 113617005395438L, 6: 112321775306889L}
{0: 1481755518834279L, 1: 1290636503920507L, 5: 170599823612635L, 6: 153827650945979L}
{0: 1584140177473544L, 1: 1389591817567538L, 5: 176375600669427L, 6: 159465862460143L}
{0: 1702600435011725L, 1: 1497781511733042L, 5: 186071913816518L, 6: 168590844380596L}
{0: 1815302496381941L, 1: 1598226327912077L, 5: 196109376314773L, 6: 178922568929802L}
{0: 1917556529566239L, 1: 1694086209172330L, 5: 203885093140442L, 6: 186544523876918L}
{0: 2074242196531144L, 1: 1824200951490902L, 5: 221655432081657L, 6: 204631426500928L}
{0: 2246081048643298L, 1: 1960724644163800L, 5: 243382584481129L, 6: 226195016893317L}
{0: 2411690306169076L, 1: 2073337527783062L, 5: 274648764236426L, 6: 257467278150529L}
{0: 2577304776951737L, 1: 2220285831146410L, 5: 287957223541737L, 6: 270602406940478L}
{0: 2674995488892883L, 1: 2314950788154745L, 5: 295774463354036L, 6: 278236314733546L}
{0: 2797859465125717L, 1: 2418411440541829L, 5: 311052752035870L, 6: 293504687688587L}
{0: 2923882774985501L, 1: 2533970717223667L, 5: 322283366782896L, 6: 304923091306167L}
{0: 3030471801041815L, 1: 2618781399128738L, 5: 340979254344392L, 6: 323236938780614L}
{0: 3235958686249976L, 1: 2775500808216724L, 5: 369308113244190L, 6: 351968169740495L}
{0: 3421730471953563L, 1: 2928825801647851L, 5: 390801522709392L, 6: 373257607290245L}
{0: 3595604430745724L, 1: 3083553371004181L, 5: 406404592039676L, 6: 386352558993806L}
{0: 3817822444418356L, 1: 3251241040548103L, 5: 440036607977079L, 6: 422295728926502L}
{0: 4045228610034500L, 1: 3421117184972785L, 5: 476749394574393L, 6: 457700904966853L}
{0: 4206420424184059L, 1: 3575410082025992L, 5: 486314078292381L, 6: 467265019021703L}
{0: 5095348488083295L, 1: 4444215249536290L, 5: 500355041583443L, 6: 497590659291708L}
{0: 6360721355495366L, 1: 5710295426486181L, 5: 502218058068420L, 6: 501754825251878L}
{0: 7884406731640327L, 1: 7231822449349482L, 5: 503643611585254L, 6: 503418961509129L, 32767: 4303010509489L}
{0: 9343276381776810L, 1: 8691422383553600L, 5: 505580222540406L, 6: 505357648521098L, 32767: 4783913172061L}
{0: 10748583583526019L, 1: 10098458660672370L, 5: 507556708658707L, 6: 507586199685234L, 32767: 4783913172061L}
{0: 12038050967669174L, 1: 11388178675634259L, 5: 509323507663641L, 6: 509612513363123L, 32767: 4783913172061L}
{0: 13462288886357583L, 1: 12813190619999602L, 5: 511125413117866L, 6: 511414638040567L, 32767: 4783913172061L}
{0: 14813492372691397L, 1: 14165971190558526L, 5: 512964064394504L, 6: 513516472840254L, 32767: 4783913172061L}
{0: 16326898524446653L, 1: 15680981463244657L, 5: 515103252293972L, 6: 515389109817747L, 32767: 4783913172061L}
{0: 17909525252757013L, 1: 17265518541722684L, 5: 517286323441975L, 6: 517569382711269L, 32767: 4783913172061L}
{0: 19769352489775218L, 1: 19126454447067911L, 5: 519227901341275L, 6: 519792105192476L, 32767: 4783913172061L}
{0: 20999291120163807L, 1: 20356392708190147L, 5: 521484702493540L, 6: 521767031690677L, 32767: 4783913172061L}
{0: 22511277449686221L, 1: 21869813161931134L, 5: 523496145083087L, 6: 524355653598786L, 32767: 4783913172061L}
{0: 23681080157526423L, 1: 23040200156431982L, 5: 525833033838957L, 6: 526406959628335L, 32767: 4783913172061L}
{0: 25207665879503302L, 1: 24567380591509399L, 5: 528212975137294L, 6: 528489062756918L, 32767: 4783913172061L}
{0: 26838130777527865L, 1: 26199962590029643L, 5: 530331671995281L, 6: 530910940058598L, 32767: 4783913172061L}
{0: 28625640094415203L, 1: 27989619512246447L, 5: 532790844492981L, 6: 533063580639502L, 32767: 4783913172061L}
{0: 30928122647074214L, 1: 30293669874058820L, 5: 535293953636315L, 6: 535563891248347L, 32767: 5720905839781L}
{0: 32401419129700283L, 1: 31767604223085939L, 5: 537199567874258L, 6: 537788034971049L, 32767: 5720905839781L}
{0: 34148249096078010L, 1: 33516365475867432L, 5: 540100365990231L, 6: 540042982997600L, 32767: 5720905839781L}
{0: 36028538117049679L, 1: 35398620930889610L, 5: 542391835264034L, 6: 543318301864549L, 32767: 5720905839781L}
{0: 37903174729671012L, 1: 37274926929639643L, 5: 545048664942513L, 6: 545649636637114L, 32767: 5720905839781L}
{0: 39837097704246983L, 1: 39212224929148813L, 5: 547748563692381L, 6: 548351593082846L, 32767: 5720905839781L}
{0: 41580622350469295L, 1: 40956432355998354L, 5: 550488340972021L, 6: 551093542432414L, 32767: 5720905839781L}
{0: 43867646839838899L, 1: 43246236043473750L, 5: 553267507938666L, 6: 553526216130818L, 32767: 5720905839781L}
{0: 45707159931304645L, 1: 45087510246071128L, 5: 556090704651100L, 6: 556346545257259L, 32767: 5720905839781L}
{0: 47486437738799656L, 1: 46867860964664864L, 5: 558236265727368L, 6: 558850707449787L, 32767: 5720905839781L}
{0: 49464234940570631L, 1: 48847104570567015L, 5: 561133055789485L, 6: 561385624150481L, 32767: 5720905839781L}
{0: 51388098812823912L, 1: 50772069937418853L, 5: 564074609947031L, 6: 564694299929543L, 32767: 5720905839781L}
{0: 53509845338372982L, 1: 52894557616873190L, 5: 567053613658275L, 6: 566930643480859L, 32767: 5720905839781L}
{0: 55524501641195559L, 1: 54911097572613354L, 5: 570073635587361L, 6: 569947788707228L, 32767: 5720905839781L}
{0: 57930132650225269L, 1: 57319403243785315L, 5: 573518772427796L, 6: 573777556146077L, 32767: 5720905839781L}
{0: 60465169607047510L, 1: 59853669899873931L, 5: 576617979767326L, 6: 576490244199787L, 32767: 7649966982972L}
{0: 62632655565546003L, 1: 62022333490031430L, 5: 579761198647382L, 6: 579630630628006L, 32767: 7649966982972L}
{0: 64855999188282459L, 1: 64246471606157021L, 5: 582146768805719L, 6: 582414758846989L, 32767: 7649966982972L}
{0: 67154299326487296L, 1: 66545981074324266L, 5: 585363590083168L, 6: 585229741742098L, 32767: 7649966982972L}
{0: 69613370310955256L, 1: 69005863450368854L, 5: 588625133941663L, 6: 588898513872414L, 32767: 7649966982972L}
{0: 71997035457378243L, 1: 71389528172157870L, 5: 591511929499465L, 6: 591374842440696L, 32767: 7649966982972L}
{0: 74253216453265939L, 1: 73647377178190011L, 5: 594851937884753L, 6: 594712088973805L, 32767: 7649966982972L}
{0: 76939167422842631L, 1: 76332905703586832L, 5: 598230863759425L, 6: 598091950351769L, 32767: 10608949396125L}
{0: 79520895719978028L, 1: 78915917710015678L, 5: 601650062311286L, 6: 601509695910962L, 32767: 10608949396125L}
{0: 81638126391743442L, 1: 81035313801743695L, 5: 605113276223383L, 6: 604970170915486L, 32767: 10608949396125L}
{0: 83755429236230540L, 1: 83155238455746065L, 5: 608175896915070L, 6: 608470256926768L, 32767: 10608949396125L}
{0: 85537041671311742L, 1: 84937736843302646L, 5: 611272363797599L, 6: 611565327941006L, 32767: 10608949396125L}
{0: 88107736396653943L, 1: 87510222031186962L, 5: 614405562542290L, 6: 615594222030739L, 32767: 10608949396125L}
{0: 90854373823979942L, 1: 90260024009028735L, 5: 617572420742526L, 6: 618310549131552L, 32767: 10608949396125L}
{0: 94405541386648128L, 1: 93812103797045073L, 5: 621232477440909L, 6: 621967924650838L, 32767: 10608949396125L}
