{0: 9641, 1: 4497, 2: 1661, 3: 775}
{0: 19685, 1: 8340, 2: 2389, 3: 1590}
{0: 31601, 1: 10337, 2: 3106, 3: 2512}
{0: 42198, 1: 13274, 2: 4260, 3: 3170}
{0: 53153, 1: 17226, 2: 4950, 3: 4286}
{0: 64866, 1: 19860, 2: 5760, 3: 4696}
{0: 76850, 1: 24342, 2: 6229, 3: 5156}
{0: 85861, 1: 30238, 2: 7289, 3: 6521}
{0: 96177, 1: 35101, 2: 8257, 3: 7608}
{0: 106347, 1: 45162, 2: 16137, 3: 8922}
{0: 116116, 1: 50908, 2: 17102, 3: 9793}
{0: 127005, 1: 56304, 2: 18153, 3: 11305}
{0: 137290, 1: 61343, 2: 20923, 3: 12395}
{0: 148353, 1: 65823, 2: 21331, 3: 13332}
{0: 158664, 1: 69561, 2: 22409, 3: 14971}
{0: 168685, 1: 74460, 2: 23308, 3: 16142}
{0: 179623, 1: 79061, 2: 24570, 3: 16648}
{0: 188775, 1: 85048, 2: 26175, 3: 17925}
{0: 198666, 1: 91098, 2: 28535, 3: 18169}
{0: 209960, 1: 103733, 2: 31411, 3: 24159}
{0: 226780, 1: 107588, 2: 33331, 3: 25498}
{0: 246214, 1: 109494, 2: 34935, 3: 28215}
{0: 263266, 1: 112107, 2: 38344, 3: 29759}
{0: 281110, 1: 114152, 2: 39599, 3: 31533}
{0: 297924, 1: 116650, 2: 40924, 3: 33173}
{0: 315490, 1: 118926, 2: 41995, 3: 34779}
{0: 330796, 1: 122499, 2: 43085, 3: 36012}
{0: 346140, 1: 127298, 2: 47097, 3: 40212, 32767: 26}
{0: 363275, 1: 135738, 2: 58580, 3: 42058, 32767: 26}
{0: 377964, 1: 139277, 2: 59512, 3: 43677, 32767: 26}
{0: 395467, 1: 141622, 2: 60710, 3: 45736, 32767: 26}
{0: 414199, 1: 143210, 2: 62338, 3: 47644, 32767: 26}
{0: 428333, 1: 147076, 2: 68284, 3: 48910, 32767: 26}
{0: 447617, 1: 148473, 2: 69434, 3: 50786, 32767: 26}
{0: 466267, 1: 150196, 2: 70712, 3: 52508, 32767: 26}
{0: 484761, 1: 152088, 2: 72065, 3: 54152, 32767: 26}
{0: 500783, 1: 154718, 2: 73408, 3: 55646, 32767: 26}
{0: 518313, 1: 156810, 2: 74549, 3: 57271, 32767: 26}
{0: 535539, 1: 162697, 2: 76149, 3: 65365, 32767: 26}
{0: 551992, 1: 165684, 2: 77597, 3: 67614, 32767: 26}
{0: 568217, 1: 168358, 2: 78702, 3: 69116, 32767: 26}
{0: 586497, 1: 170670, 2: 79716, 3: 70900, 32767: 26}
{0: 602980, 1: 172712, 2: 81261, 3: 72558, 32767: 26}
{0: 621713, 1: 174579, 2: 82459, 3: 74067, 32767: 26}
{0: 638755, 1: 176933, 2: 87072, 3: 76428, 32767: 26}
{0: 656430, 1: 178857, 2: 88342, 3: 78259, 32767: 26}
{0: 670168, 1: 182905, 2: 89609, 3: 79462, 32767: 26}
{0: 687608, 1: 185451, 2: 92393, 3: 81148, 32767: 26}
