{0: 5493650023267L, 1: 5508186101490L, 2: 130154513463L, 3: 109595541998L}
{0: 19747190502511L, 1: 19736483720517L, 2: 540335101806L, 3: 490284656549L}
{0: 40343452174579L, 1: 37725140801542L, 2: 2113139956164L, 3: 2318335838010L}
{0: 68877744023133L, 1: 64499947606451L, 2: 3780028442677L, 3: 3682599487722L}
{0: 126576679761880L, 1: 120862227443977L, 2: 4873858321763L, 3: 5148159558231L}
{0: 176950236229367L, 1: 164764492523238L, 2: 9245587334420L, 3: 8940528874232L}
{0: 246929213038664L, 1: 228758282720235L, 2: 12857285205036L, 3: 13296488933356L}
{0: 327206824096352L, 1: 307481748548721L, 2: 15005009514086L, 3: 15730356319987L}
{0: 416564140895942L, 1: 394434748511414L, 2: 17640725685966L, 3: 18380027194531L}
{0: 534955647552887L, 1: 509884889714104L, 2: 21182527482501L, 3: 21053579524245L}
{0: 655061356052410L, 1: 624468575095593L, 2: 25841243417119L, 3: 26327645091095L}
{0: 779475632145373L, 1: 741967358911063L, 2: 32290581943915L, 3: 31908613097930L}
{0: 983355913569265L, 1: 885079580738897L, 2: 86290779231783L, 3: 42943799345313L}
{0: 1105391393276416L, 1: 1001958396977871L, 2: 90772803204142L, 3: 48958936875053L}
{0: 1230118165672823L, 1: 1111110444933120L, 2: 100936631773729L, 3: 59873708299873L}
{0: 1387925537754626L, 1: 1268127743572309L, 2: 105054128877218L, 3: 63988855389389L}
{0: 1553458597145255L, 1: 1432181421343770L, 2: 108520063103919L, 3: 67863145310226L}
{0: 1787060892886327L, 1: 1652998635992409L, 2: 120724980395739L, 3: 74834995602508L}
{0: 2036967603765828L, 1: 1898198383542721L, 2: 126504164713430L, 3: 79770245776018L}
{0: 2310966780245250L, 1: 2130890666584916L, 2: 150565285457330L, 3: 104760963669653L}
