{0: 2730, 1: 4449, 2: 98, 3: 103}
{0: 4937, 1: 8068, 2: 182, 3: 216}
{0: 7405, 1: 11134, 2: 328, 3: 377}
{0: 9396, 1: 14148, 2: 450, 3: 484}
{0: 12459, 1: 19126, 2: 515, 3: 563}
{0: 14631, 1: 22309, 2: 720, 3: 715}
{0: 17175, 1: 26151, 2: 855, 3: 859}
{0: 19793, 1: 30298, 2: 944, 3: 951}
{0: 22257, 1: 34314, 2: 1046, 3: 1025}
{0: 25266, 1: 39151, 2: 1145, 3: 1100}
{0: 28050, 1: 43486, 2: 1264, 3: 1224}
{0: 30628, 1: 47531, 2: 1471, 3: 1334}
{0: 34431, 1: 52114, 2: 3208, 3: 1690}
{0: 36638, 1: 55608, 2: 3313, 3: 1839}
{0: 42473, 1: 58885, 2: 3949, 3: 2119}
{0: 45066, 1: 63086, 2: 4024, 3: 2210}
{0: 47504, 1: 67042, 2: 4081, 3: 2265}
{0: 51807, 1: 72079, 2: 4375, 3: 2733}
{0: 55065, 1: 77376, 2: 4476, 3: 2845}
{0: 58635, 1: 82008, 2: 4823, 3: 3194}
