{0: 2730, 1: 4449, 2: 98, 3: 103}
{0: 4937, 1: 8068, 2: 182, 3: 216}
{0: 7405, 1: 11134, 2: 328, 3: 377}
{0: 9396, 1: 14148, 2: 450, 3: 484}
{0: 12459, 1: 19126, 2: 515, 3: 563}
{0: 14631, 1: 22309, 2: 720, 3: 715}
{0: 17175, 1: 26151, 2: 855, 3: 859}
{0: 19793, 1: 30298, 2: 944, 3: 951}
{0: 22257, 1: 34314, 2: 1046, 3: 1025}
{0: 25266, 1: 39151, 2: 1145, 3: 1100}
{0: 28050, 1: 43486, 2: 1264, 3: 1224}
{0: 30628, 1: 47531, 2: 1471, 3: 1334}
{0: 34431, 1: 52114, 2: 3208, 3: 1690}
{0: 36638, 1: 55608, 2: 3313, 3: 1839}
{0: 42473, 1: 58885, 2: 3949, 3: 2119}
{0: 45066, 1: 63086, 2: 4024, 3: 2210}
{0: 47504, 1: 67042, 2: 4081, 3: 2265}
{0: 51807, 1: 72079, 2: 4375, 3: 2733}
{0: 55065, 1: 77376, 2: 4476, 3: 2845}
{0: 58635, 1: 82008, 2: 4823, 3: 3194}
{0: 63955, 1: 87503, 2: 5716, 3: 4076}
{0: 70576, 1: 92523, 2: 7004, 3: 5861}
{0: 75602, 1: 97416, 2: 7934, 3: 6805}
{0: 81220, 1: 103162, 2: 8895, 3: 7751}
{0: 86877, 1: 109230, 2: 9788, 3: 8606}
{0: 92225, 1: 114587, 2: 10707, 3: 9515}
{0: 97238, 1: 119892, 2: 11456, 3: 10381}
{0: 106502, 1: 128337, 2: 13733, 3: 12340, 32767: 2}
{0: 111452, 1: 132959, 2: 14766, 3: 13330, 32767: 2}
{0: 116711, 1: 138771, 2: 15534, 3: 14075, 32767: 2}
{0: 122345, 1: 144562, 2: 16482, 3: 14996, 32767: 2}
{0: 128445, 1: 150095, 2: 17683, 3: 16007, 32767: 2}
{0: 133824, 1: 155439, 2: 18424, 3: 16671, 32767: 2}
{0: 139066, 1: 159996, 2: 19514, 3: 17787, 32767: 2}
{0: 144840, 1: 165646, 2: 20509, 3: 18815, 32767: 2}
{0: 150241, 1: 170665, 2: 21562, 3: 19906, 32767: 2}
{0: 155558, 1: 176125, 2: 22429, 3: 20749, 32767: 2}
{0: 160764, 1: 181184, 2: 23403, 3: 21658, 32767: 2}
{0: 166559, 1: 186608, 2: 24510, 3: 23355, 32767: 2}
{0: 172032, 1: 191743, 2: 25457, 3: 24349, 32767: 2}
{0: 177294, 1: 197030, 2: 26311, 3: 25234, 32767: 2}
{0: 185489, 1: 201637, 2: 27845, 3: 26314, 32767: 2}
{0: 190816, 1: 206916, 2: 29015, 3: 27178, 32767: 2}
{0: 196395, 1: 212337, 2: 29999, 3: 28189, 32767: 2}
{0: 201716, 1: 217242, 2: 30981, 3: 29213, 32767: 2}
{0: 207349, 1: 222935, 2: 31880, 3: 30218, 32767: 2}
{0: 212711, 1: 228116, 2: 32653, 3: 30856, 32767: 2}
{0: 219196, 1: 234941, 2: 33706, 3: 31748, 32767: 2}
{0: 231354, 1: 253284, 2: 33726, 3: 31756, 32767: 2}
{0: 244976, 1: 275193, 2: 33749, 3: 31803, 32767: 4}
{0: 257088, 1: 293429, 2: 33759, 3: 31811, 32767: 5}
{0: 269047, 1: 311516, 2: 33774, 3: 31820, 32767: 5}
{0: 281015, 1: 329591, 2: 33784, 3: 31831, 32767: 5}
{0: 293215, 1: 347984, 2: 33797, 3: 31848, 32767: 5}
{0: 305170, 1: 365990, 2: 33819, 3: 31860, 32767: 5}
{0: 317489, 1: 384573, 2: 33829, 3: 31867, 32767: 5}
{0: 329710, 1: 402934, 2: 33842, 3: 31878, 32767: 5}
{0: 343790, 1: 425560, 2: 33852, 3: 31886, 32767: 5}
{0: 355752, 1: 443578, 2: 33860, 3: 31916, 32767: 5}
{0: 367773, 1: 461654, 2: 33870, 3: 31925, 32767: 5}
{0: 379910, 1: 479903, 2: 33880, 3: 31931, 32767: 5}
{0: 391550, 1: 497401, 2: 33893, 3: 31947, 32767: 5}
{0: 403667, 1: 515668, 2: 33909, 3: 31955, 32767: 5}
{0: 415926, 1: 534193, 2: 33937, 3: 31962, 32767: 5}
{0: 428448, 1: 553236, 2: 33945, 3: 31970, 32767: 7}
{0: 441950, 1: 574628, 2: 33957, 3: 31980, 32767: 9}
{0: 454272, 1: 593243, 2: 33965, 3: 31986, 32767: 9}
{0: 466251, 1: 611212, 2: 33974, 3: 32000, 32767: 9}
{0: 478379, 1: 629453, 2: 33982, 3: 32006, 32767: 9}
{0: 490835, 1: 648118, 2: 33993, 3: 32016, 32767: 9}
{0: 502930, 1: 666373, 2: 34008, 3: 32025, 32767: 9}
{0: 514905, 1: 684340, 2: 34017, 3: 32037, 32767: 9}
{0: 527749, 1: 704698, 2: 34030, 3: 32046, 32767: 9}
